date,extent,area,data-type,region
2005-4,14.09,12.23,Goddard,N
2006-4,13.91,12.04,Goddard,N
2007-4,13.85,11.83,Goddard,N
2008-4,14.35,12.78,Goddard,N
2009-4,14.50,12.92,Goddard,N
2010-4,14.66,12.85,Goddard,N
2011-4,14.11,12.45,Goddard,N
2012-4,14.63,12.87,Goddard,N
2013-4,14.30,12.75,Goddard,N
2014-4,14.09,12.43,Goddard,N
2015-4,13.89,12.33,Goddard,N
2016-4,13.68,11.98,Goddard,N
2017-4,13.75,12.26,Goddard,N
2018-4,13.70,12.28,Goddard,N
2019-4,13.43,11.90,Goddard,N
2020-4,13.62,12.02,Goddard,N
2021-4,13.79,12.18,Goddard,N
2022-4,14.04,12.42,NRTSI-G,N
1979-5,13.86,11.11,Goddard,N
1980-5,13.79,10.96,Goddard,N
1981-5,13.80,10.99,Goddard,N
1982-5,13.97,11.17,Goddard,N
1983-5,13.49,10.87,Goddard,N
1984-5,13.58,10.88,Goddard,N
1985-5,14.07,11.25,Goddard,N
1986-5,13.38,10.70,Goddard,N
1987-5,13.74,10.97,Goddard,N
1988-5,13.56,11.41,Goddard,N
1989-5,13.04,11.35,Goddard,N
1990-5,13.23,10.90,Goddard,N
1991-5,13.47,11.50,Goddard,N
1992-5,13.22,11.43,Goddard,N
1993-5,13.37,11.42,Goddard,N
1994-5,13.62,11.66,Goddard,N
1995-5,12.97,10.90,Goddard,N
1996-5,13.09,11.28,Goddard,N
1997-5,13.18,11.24,Goddard,N
1998-5,13.59,11.40,Goddard,N
1999-5,13.75,11.66,Goddard,N
2000-5,13.15,11.24,Goddard,N
2001-5,13.51,11.38,Goddard,N
2002-5,12.97,11.16,Goddard,N
2003-5,13.02,10.89,Goddard,N
2004-5,12.56,10.92,Goddard,N
2005-5,12.91,10.88,Goddard,N
2006-5,12.52,10.45,Goddard,N
2007-5,12.78,10.77,Goddard,N
2008-5,12.97,11.25,Goddard,N
2009-5,13.19,11.48,Goddard,N
2010-5,12.87,10.88,Goddard,N
2011-5,12.68,10.74,Goddard,N
2012-5,13.01,11.05,Goddard,N
2013-5,13.00,11.25,Goddard,N
2014-5,12.70,11.05,Goddard,N
2015-5,12.47,10.90,Goddard,N
2016-5,11.92,10.25,Goddard,N
2017-5,12.63,11.01,Goddard,N
2018-5,12.23,10.81,Goddard,N
2019-5,12.19,10.50,Goddard,N
2020-5,12.34,10.51,Goddard,N
2021-5,12.68,10.86,Goddard,N
2022-5,12.88,11.06,NRTSI-G,N
1979-6,12.53,9.34,Goddard,N
1980-6,12.20,9.00,Goddard,N
1981-6,12.43,9.03,Goddard,N
1982-6,12.48,9.46,Goddard,N
1983-6,12.30,9.27,Goddard,N
1984-6,12.15,9.09,Goddard,N
1985-6,12.22,8.96,Goddard,N
1986-6,11.98,8.99,Goddard,N
1987-6,12.49,9.39,Goddard,N
1988-6,11.94,9.68,Goddard,N
1989-6,12.24,9.95,Goddard,N
1990-6,11.64,9.20,Goddard,N
1991-6,12.11,9.66,Goddard,N
1992-6,12.15,9.95,Goddard,N
1993-6,11.87,9.26,Goddard,N
